time,frequency,confidence
8.110,116.821,0.882925
8.120,117.075,0.897817
8.130,117.048,0.883664
8.140,116.907,0.880226
8.150,117.079,0.887505
8.160,117.009,0.880084
8.170,117.052,0.857877
8.180,116.932,0.883525
8.190,117.176,0.872333
8.200,116.896,0.886021
8.210,116.757,0.875284
8.220,116.877,0.870232
8.230,116.701,0.886724
8.240,117.097,0.873956
8.250,117.172,0.882959
8.260,117.368,0.850734
8.270,117.334,0.841532
8.280,116.646,0.863622
8.290,116.771,0.859708
8.300,116.900,0.865760
8.310,116.768,0.851988
8.320,116.620,0.875763
8.330,117.302,0.850136
8.340,116.256,0.750300
8.350,115.962,0.508466
8.360,116.210,0.387452
8.370,116.846,0.482769
8.380,39.160,0.310048
8.390,117.443,0.393285
8.400,116.561,0.439251
8.410,116.769,0.400879
8.420,38.961,0.437442
8.430,156.651,0.274844
8.440,157.003,0.341287
8.450,156.968,0.370137
8.460,156.716,0.386737
8.470,38.905,0.360113
8.480,38.871,0.327221
8.490,116.668,0.368907
8.500,38.871,0.343614
8.510,156.650,0.368703
8.520,39.062,0.410671
8.530,38.876,0.309849
8.540,38.857,0.479024
8.550,38.901,0.689123
8.560,38.868,0.539126
8.570,39.010,0.531459
8.580,39.077,0.424109
8.590,39.058,0.351366
8.600,38.896,0.708415
8.610,38.810,0.620548
8.620,38.898,0.434261
8.630,38.822,0.644498
8.640,38.854,0.388535
8.650,38.883,0.409273
8.660,38.820,0.357384
8.670,38.820,0.394868
8.680,38.766,0.351287
8.690,116.801,0.344631
8.700,156.066,0.458954
8.710,117.190,0.415659
8.720,117.106,0.378260
8.730,38.924,0.373363
8.740,117.263,0.350332
8.750,38.856,0.500201
8.760,38.744,0.621577
8.770,38.757,0.643205
8.780,38.866,0.678109
8.790,38.784,0.596086
8.800,38.811,0.676280
8.810,38.721,0.557295
8.820,38.683,0.436847
8.830,38.714,0.505848
8.840,116.569,0.509827
8.850,38.784,0.342707
8.860,117.368,0.480901
8.870,116.984,0.461353
8.880,117.524,0.395628
8.890,116.571,0.480193
8.900,116.630,0.487705
8.910,117.061,0.601586
8.920,38.807,0.518785
8.930,116.570,0.448195
8.940,116.681,0.516703
8.950,38.828,0.361510
8.960,38.759,0.428410
8.970,38.742,0.422537
8.980,38.769,0.342370
8.990,116.739,0.432835
9.000,117.062,0.415986
9.010,117.106,0.562756
9.020,116.763,0.432148
9.030,116.920,0.563362
9.040,116.923,0.637322
9.050,116.946,0.422782
9.060,117.200,0.540374
9.070,116.911,0.522689
9.080,116.632,0.481059
9.090,116.967,0.606116
9.100,157.269,0.162967
9.110,233.522,0.173223
9.120,233.642,0.593601
9.130,234.607,0.833641
9.140,234.660,0.894293
9.150,234.520,0.933822
9.160,234.591,0.932146
9.170,234.867,0.921950
9.180,234.655,0.922797
9.190,234.715,0.922837
9.200,234.607,0.917468
9.210,234.575,0.920201
9.220,234.867,0.916560
9.230,234.903,0.902306
9.240,234.997,0.881908
9.250,234.972,0.912092
9.260,234.987,0.906191
9.270,234.865,0.900169
9.280,234.693,0.900107
9.290,234.706,0.888641
9.300,235.030,0.883286
9.310,234.820,0.902794
9.320,234.779,0.906911
9.330,234.882,0.910144
9.340,234.709,0.922932
9.350,234.906,0.912256
9.360,234.820,0.907525
9.370,235.001,0.900682
9.380,234.944,0.901877
9.390,234.934,0.893212
9.400,234.683,0.900176
9.410,234.342,0.916648
9.420,234.313,0.920543
9.430,234.254,0.924741
9.440,234.646,0.906011
9.450,234.392,0.896603
9.460,234.529,0.825496
9.470,234.563,0.844370
9.480,234.556,0.859293
9.490,235.361,0.848437
9.500,238.488,0.587638
9.510,258.548,0.491181
9.520,264.086,0.705085
9.530,263.807,0.854711
9.540,264.787,0.854563
9.550,266.034,0.839461
9.560,263.943,0.841632
9.570,263.295,0.871855
9.580,264.192,0.804595
9.590,263.757,0.804247
9.600,262.904,0.805566
9.610,263.538,0.843187
9.620,264.051,0.799420
9.630,262.787,0.855539
9.640,262.845,0.863034
9.650,263.597,0.835064
9.660,263.709,0.798769
9.670,262.838,0.825688
9.680,263.325,0.832072
9.690,263.944,0.817464
9.700,263.075,0.806866
9.710,263.897,0.804913
9.720,264.094,0.797448
9.730,263.460,0.809960
9.740,263.165,0.682223
9.750,264.191,0.652989
9.760,264.630,0.603114
9.770,263.321,0.639329
9.780,263.890,0.584834
9.790,265.264,0.567877
9.800,263.573,0.606788
9.810,263.067,0.479228
9.820,263.491,0.373033
9.830,264.452,0.437338
9.840,263.121,0.403502
9.850,263.676,0.344086
9.860,265.113,0.323151
9.870,263.515,0.249899
9.880,345.491,0.607886
9.890,346.738,0.743931
9.900,349.775,0.831437
9.910,350.637,0.901602
9.920,351.057,0.897045
9.930,351.314,0.877520
9.940,350.992,0.906906
9.950,350.871,0.883440
9.960,351.066,0.843188
9.970,350.734,0.850780
9.980,351.009,0.892598
9.990,351.307,0.906880
10.000,350.853,0.882759
10.010,351.142,0.888548
10.020,351.072,0.906369
10.030,350.872,0.913126
10.040,350.990,0.924646
10.050,351.117,0.906270
10.060,351.193,0.896346
10.070,350.711,0.898513
10.080,351.156,0.901719
10.090,351.018,0.912351
10.100,350.555,0.916577
10.110,350.728,0.908564
10.120,350.929,0.913113
10.130,351.078,0.902155
10.140,351.253,0.902181
10.150,351.441,0.908191
10.160,351.694,0.891731
10.170,351.136,0.907915
10.180,350.912,0.904604
10.190,350.869,0.927424
10.200,350.755,0.926734
10.210,351.091,0.926834
10.220,350.373,0.918384
10.230,349.140,0.924578
10.240,349.072,0.913905
10.250,349.887,0.922564
10.260,350.939,0.936016
10.270,351.483,0.853276
10.280,351.467,0.792721
10.290,117.257,0.399926
10.300,115.980,0.577602
10.310,116.025,0.568195
10.320,116.250,0.604442
10.330,116.153,0.659770
10.340,58.292,0.848937
10.350,58.283,0.725987
10.360,58.361,0.735670
10.370,58.478,0.830568
10.380,58.304,0.826452
10.390,58.256,0.900210
10.400,58.316,0.885326
10.410,58.292,0.843045
10.420,58.243,0.830767
10.430,116.882,0.691881
10.440,58.353,0.790446
10.450,58.279,0.715921
10.460,58.259,0.757133
10.470,58.339,0.791008
10.480,58.320,0.813155
10.490,58.423,0.794597
10.500,116.905,0.561407
10.510,58.323,0.837814
10.520,58.435,0.786782
10.530,58.286,0.677452
10.540,58.351,0.839407
10.550,116.735,0.681092
10.560,58.295,0.780522
10.570,58.323,0.664670
10.580,58.261,0.789747
10.590,58.235,0.818096
10.600,58.339,0.755977
10.610,58.327,0.759859
10.620,116.785,0.697733
10.630,116.929,0.721097
10.640,58.441,0.631813
10.650,58.657,0.370967
10.660,58.903,0.429723
10.670,59.097,0.148160
10.680,58.385,0.253027
10.690,58.176,0.106510
10.700,87.697,0.310792
10.710,87.919,0.532085
